"id","service_name","belong_area","org_name","apply_condition","service_level","contact_telephone","apply_materials","apply_end_time","apply_start_time","address","cash_standard","cash_way","policy_term","service_procedure","policy_type","create_dept_name"
"1053",高新技术企业认定奖励,合肥市,科技部门,首次认定的国家高新技术企业,,,,"2023-11-30","2023-02-17",,对首次认定为国家高新技术企业的给予20万元奖励,一键确认,,,"1",合肥市科学技术局
"1528635514179469314",企业研究开发项目费用税前加计扣除鉴定,宿州市,,,,,,,,,,限时办理,,,,宿州市科学技术局
"1528637047986110466",组织申报企业转化科技成果获认定的国家级重点新产品、新药证书、动植物新品种省级研发后补助发放,宿州市,,,,,,,,,,限时办理,,,,宿州市科学技术局
"1528637896657387521",组织申报省科技重大专项项目补助发放,宿州市,,,,,,,"2023-01-01",,,限时办理,,,,宿州市科学技术局
"1528638418261032962",组织申报省级以上孵化器绩效考核奖励发放,宿州市,,,,,,,"2023-01-01",,,立即兑现,,,,宿州市科学技术局
"1528639003290943489",组织申报技术交易补助发放,宿州市,,,,,,"2023-12-31","2023-12-01",,,立即兑现,,,,宿州市科学技术局
"1528639510155804673",组织申报高新技术企业科技保险补助发放,宿州市,,,,,,,,,,限时办理,,,,宿州市科学技术局
"1528640036402544642",组织申报高层次人才团队项目,宿州市,,,,,,"2023-12-31","2017-10-31",,,限时办理,,,,宿州市科学技术局
"1528640504402984962",大型科学仪器设备资源共享共用补助,宿州市,,,,,,,,,,限时办理,,,,宿州市科学技术局
"1549678919526248450",一次性创业补贴,亳州市,人社部门,贫困劳动者、农民工等返乡创业人员首次创办小微企业或从事个体经营并且正常运营6个月以上的小微企业。,,,,,"2024-01-01",,对毕业2年以内的高校毕业生、就业困难人员、返乡农民工、建档立卡贫困劳动者首次创办小微企业，自工商注册登记之日起正常运营6个月以上并依法缴纳社会保险费的，由就业补助资金给予5000元一次性创业补贴。,一键确认,,,"1",亳州市人力资源和社会保障局
"1580034861417619457",企业在“新三板”挂牌奖励,六安市,财政部门,新增“新三板”挂牌企业。,,"0564-3371294",,,"2022-01-01",,"企业在“新三板”挂牌,市财政按签订协议并完成股改和成功挂牌两个阶段分别奖励50万元、50万元,晋层至创新层奖励50万元。赴北交所上市的企业按上市报备、上市报审、成功上市三个阶段分别奖励150万元、200万元、1000万元。",一键确认,,,"1",六安市地方金融监督管理局
"1580368776938381313",工业企业绿色生产固定资产投资补助,合肥市,工信部门,"①满足下列条件之一的项目：Ⅰ.工业节能技改项目：单个项目（含合同能源管理项目）年节能量不低于800吨标煤；Ⅱ.工业节水技改项目：单个项目年节水量不低于5万m3；Ⅲ.清洁生产项目（含合同环境服务项目）：单个项目主要污染物（化学需氧量、氨氮、二氧化硫、氮氧化物、挥发性有机物、氟化物等）减排不低于10%；Ⅳ.资源综合利用项目：废弃物利用量需达到一定规模，其中煤矸石、粉煤灰、工业副产石膏、尾矿综合利用项目年利用量不低于5万吨；水泥窑协同处置生活垃圾项目年处理量不低于5万吨；废轮胎年利用量不低于2万吨；废塑料年利用量不低于5000吨；废旧玻璃纤维年利用量不低于5000吨；污泥年利用量不低于1万吨；废旧电器电子产品年利用量不低于5000吨；新能源汽车动力蓄电池年利用量不低于1500吨或总容量不少于150MWh。
②所申报的项目在合肥市行政区域内建设运营，在上一年年初至当年年末期间建设完成并稳定运行3个月以上。",,"0551-63538803",,"2023-06-30","2023-03-01",,对工业企业绿色生产等项目固定资产投资200万元以上的，按固定资产投资额的30%给予最高300万元补贴。,限时办理,,,,合肥市工业和信息化局
"1580371305734594562",智能网联汽车测试场、检测中心、示范区固定资产投资补助,合肥市,工信部门,符合下列条件之一的项目：①已竣工的智能网联汽车各类测试场、检测中心、示范区建设项目；②已竣工的多场景、多类型测试应用项目；○3社会资本投入固定资产不低于100万元。,,"0551-63538578",,"2023-06-30","2023-03-01",,对社会资本新建及扩建智能网联汽车测试场、检测中心和示范区，按固定资产投资额的10%给予最高300万元补贴。,限时办理,,,,合肥市工业和信息化局
"1580372877566795778",支持专业服务平台建设,合肥市,工信部门,开展工业设计大数据、3D打印中心、新材料馆、色板中心、手板厂等服务的工业设计专业服务平台。,,"0551-63538396",,"2023-06-30","2023-03-01",,对新建（扩建）工业设计专业服务平台软硬件投资500万元以上的，按投资额的30%给予最高500万元补贴。,限时办理,,,,合肥市工业和信息化局
"1580381636724776961",持续深化“双创”示范,合肥市,工信部门,当年测评优秀的市级及以上小微企业创业创新示范基地。,,"0551-63537877",,"2023-06-30","2023-03-01",,对市级及以上小微企业创业创新示范基地测评优秀的给予最高20万元奖励。,一键确认,,,"1",合肥市工业和信息化局
